0.261648,0.176018,0.141027,0.421308
0.552729,0.119547,0.229738,0.097985
0.199985,0.355881,0.132061,0.312073
0.324340,0.047153,0.247307,0.381199
0.136066,0.326340,0.272131,0.265463
0.382304,0.239255,0.156036,0.222406
0.501067,0.156934,0.195429,0.146569
0.175215,0.353629,0.238341,0.232815
0.192084,0.359208,0.195075,0.253634
0.307057,0.157998,0.186594,0.348352
0.329451,0.103509,0.262611,0.304429
0.297966,0.271424,0.175101,0.255509
0.118801,0.327134,0.364144,0.189921
0.166734,0.246169,0.418596,0.168501
0.119985,0.505354,0.132061,0.242600
0.079330,0.106785,0.540467,0.273418
0.387389,0.060661,0.265999,0.285950
0.334222,0.141227,0.440600,0.083951
0.214357,0.190454,0.143010,0.452179
0.410343,0.304085,0.221618,0.063954
0.389422,0.194412,0.082832,0.333333
0.099278,0.251517,0.291893,0.357312
0.133975,0.377959,0.160825,0.327240
0.061584,0.126153,0.619560,0.192703
0.261648,0.176018,0.141027,0.421308
0.161983,0.359500,0.121551,0.356966
0.116472,0.137877,0.512324,0.233326
0.490372,0.129286,0.253785,0.126556
0.044279,0.275184,0.357005,0.323532
0.338435,0.089868,0.303238,0.268459
0.081965,0.200268,0.293370,0.424398
0.261648,0.176018,0.141027,0.421308
0.214357,0.190454,0.143010,0.452179
0.084470,0.481748,0.178514,0.255268
0.263118,0.506432,0.162820,0.067630
0.580040,0.088395,0.241095,0.090469
0.229774,0.250542,0.406188,0.113496
0.052379,0.269498,0.293624,0.384499
0.606021,0.084050,0.203375,0.106555
0.214357,0.190454,0.143010,0.452179
0.413373,0.109019,0.246125,0.231483
0.210087,0.282868,0.443123,0.063922
0.090240,0.396171,0.188771,0.324819
0.367884,0.101331,0.416504,0.114282
0.357671,0.138074,0.299269,0.204987
0.238974,0.308733,0.278243,0.174049
0.206455,0.175376,0.440246,0.177923
0.092937,0.249678,0.267523,0.389862
0.049002,0.562898,0.257841,0.130259
0.112357,0.586585,0.144418,0.156640
0.447117,0.106625,0.299582,0.146676
0.247397,0.281109,0.153528,0.317965
0.185505,0.217999,0.102749,0.493747
0.331997,0.307626,0.218237,0.142140
0.405613,0.202215,0.270526,0.121646
0.242725,0.214230,0.165179,0.377865
0.275184,0.156783,0.369114,0.198919
0.183361,0.258794,0.114228,0.443617
0.195740,0.201256,0.260974,0.342031
0.177170,0.324412,0.271902,0.226516
0.331990,0.156283,0.418315,0.093412
0.362808,0.132103,0.212792,0.292297
0.468005,0.128134,0.292107,0.111754
0.081409,0.598208,0.096323,0.224060
0.283497,0.217395,0.173452,0.325656
0.309451,0.280534,0.280458,0.129557
0.260592,0.221654,0.411423,0.106332
0.412071,0.113773,0.278443,0.195713
0.086479,0.329711,0.050177,0.533633
0.138907,0.254545,0.447237,0.159311
0.073117,0.224655,0.333228,0.369001
0.139489,0.228024,0.174006,0.458480
0.487516,0.111014,0.291004,0.110466
0.075048,0.387821,0.160119,0.377012
0.129799,0.294290,0.339706,0.236205
0.158183,0.170087,0.387779,0.283951
0.205163,0.451887,0.098047,0.244903
